sentence1,sentence2,label
"phẩm_chất tinh_tuý , bàn_cãi , thế_hệ trẻ chủ_nhân đất_nước , động_lực hàng_đầu công_cuộc xây_dựng đất_nước phát_triển giàu_mạnh","tuổi_trẻ , chiến_tranh lùi mươi , , góp_phần xây_dựng bảo_vệ đất_nước thoả mong_ước hồ non_sông việt nam trở tươi đẹp , dân_tộc việt nam đài vinh_quang sánh_vai cuơng quốc châu , công tập os",0
đội bóng trẻ thi_đấu sân_cỏ,đứa trẻ bóng_đá sân_cỏ,1
cầu_thủ bóng_chày đứng chân ném bóng,cầu_thủ bóng_chày đứng sân tư_thế ném bóng,1
nam vận_động_viên tennis vợt đánh_bóng,khán_giả theo_dõi cú đánh_bóng nam vận_động_viên tennis,1
nữ vận_động_viên tennis nhảy đánh_bóng,nữ vận_động_viên tennis vung vợt đánh_bóng,1
"khuyến_nghị chuyên_gia hsbc , xây_dựng chiến_lược dựa tài_nguyên lao_động thu_hút đầu_tư bền_vững","khuyến_nghị chuyên_gia hsbc , chiến_lược phụ_thuộc tài_nguyên lao_động thu_hút đầu_tư bền_vững",1
hai đội bóng trẻ thi_đấu trời mưa sân_cỏ,đứa trẻ bóng_đá sân trời mưa,1
"ban chỉ_đạo tuần_lễ quốc_gia at vsl đ pccn tỉnh xây_dựng kế_hoạch tuần_lễ quốc_gia at vsl đ pccn 15 2013 địa_bàn tỉnh ban_hành văn_bản hướng_dẫn huyện , thị , thành_phố , sở , ngành , đoàn_thể , doanh_nghiệp tích_cực cần_thiết hưởng_ứng tuần_lễ quốc_gia at vsl đ pccn","nằm hoạt_động chương_trình quốc_gia an_toàn lao_động , vệ_sinh lao_động giai_đoạn 2011 2015 , 2013 , sở xây_dựng thành_phố hồ chí minh tiến_hành khảo_sát , kiểm_tra công_tác atvslđ doanh_nghiệp , công_trường xây_dựng địa_bàn thành_phố os",0
hình_ảnh chó bóng bãi biển,chó bóng tennis bãi biển,1
bé đứng cạnh đàn_ông vợt bóng tennis,nam vận_động_viên tennis đứng cạnh bé sân,1
vận_động_viên tennis nữ cầm vợt đánh bóng,vận_động_viên tennis nữ cầm vợt thi_đấu sân,1
vợ chút tình_yêu bồi_hồi hôn_nhân duy_nhất,hồi vợ tình_yêu bồi_hồi thuật hôn_nhân duy_nhất,1
philippines ủng_hộ việt nam cân_nhắc kiện trung quốc tòa_án quốc_tế hành_động xâm_phạm chủ_quyền,philippines ủng_hộ việt_nam xem_xét trung quốc tòa_án quốc_tế hành_động xâm_phạm chủ_quyền,1
"sở lđ tb xh ( cơ_quan thường_trực bcđ tuần_lễ quốc_gia tỉnh ) phối_hợp liên_đoàn lao_động tỉnh , sở cảnh_sát pc cc , sở y_tế , bảo_hiểm xã_hội tỉnh huyện , thị , thành thường_xuyên phổ_biến hướng_dẫn pháp_luật lao_động , pháp_luật phòng cháy chữa_cháy , pháp_luật bảo_vệ chăm_sóc sức_khoẻ","nằm hoạt_động chương_trình quốc_gia an_toàn lao_động , vệ_sinh lao_động giai_đoạn 2011 2015 , 2013 , sở xây_dựng thành_phố hồ chí minh tiến_hành khảo_sát , kiểm_tra công_tác atvslđ doanh_nghiệp , công_trường xây_dựng địa_bàn thành_phố os",0
đứa trẻ đá bóng biên,đứa trẻ đá bóng sân,1
người_bệnh tiểu_đường mắc chứng_bệnh nguy_cơ,"người_bệnh tiểu_đường , mắc chứng_bệnh nguy_cơ",1
hai đứa trẻ bóng_đá vườn,bé bé chạy cạnh bóng vườn,1
tiền giao_dịch diễn trận_đấu world_cup ước_tính nghìn tỷ đồng,diễn trận_đấu world_cup tiền giao_dịch dự_đoán nghìn tỷ đồng,1
"chú_ý chiến_lược tiến_quân bắc chuỗi đồ uống , , starbucks khai_trương 3 cửa_hàng trung_tâm hà_nội","chú_ý asian dolce latte , món đồ uống thiết_kế chính_thức giới_thiệu lễ khai_trương cửa_hàng starbucks thành_phố hồ chí minh đầu 2013 , chế_biến công_thức sở_thích châu",0
bé ném bóng_chày,bé theo_dõi cú ném bóng_chày,1
"hình_ảnh đàn_ông mặc áo xanh lá , quần đen giày đen",trái sân hàng rào kẽm màu trắng,1
bé gái tâng bóng chân quảng_trường,bé gái bóng_đá sân,1
"phòng trò_chơi điện_tử máy xbox nintendo wii , nhân_viên google lựa_chọn hàng ngàn trò_chơi","uống , liên_tục tụ_tập trò_chuyện , trò_chơi ,",0
voi bóng_rổ vòng,voi bóng_rổ giỏ thân,1
mèo nằm vali cạnh bóng màu vàng,"cạnh bóng màu vàng , mèo nằm vali",1
"then_chốt quản_lý chất_lượng nông thủy_sản thực_phẩm tỉnh trà vinh nhiễm vi_sinh , chứa hóa_chất cấm , hóa_chất danh_mục phép , nhiễm hóa_chất giới_hạn phép , nâng năng_lực cạnh_tranh cơ_sở ( doanh_nghiệp ) , bảo_đảm an_toàn tiêu_dùng , đóng_góp phát_triển kinh_tế xã_hội đất_nước","ts nguyễn quốc vọng bức_xúc mấy an_toàn thực_phẩm việt nam rau_muống nhiễm chì cực ( báo saigon tiếp_thị , 27 5 2007 ) , tương chứa 3 mcpd gấp ngàn ngưỡng phép mrl ( thanh_niên , 30 5 2007 ) , cúm gia_cầm h5n1 bộc_phát 16 tỉnh_thành ( thanh_niên 10 6 2007 ) , dịch lợn tai xanh lây_lan miền trung ( vneconomy 27 7 2007 )",0
"5 khủng_hoảng , người_ta chứng_kiến mỹ cuộc_chơi tài_chính rủi_ro , lấn_át kinh_tế thực , châu âu ì_ạch khoản nợ công khổng_lồ , trung quốc phát_triển nóng khả_năng hạ_cánh mềm , nhật vốn chật_vật bài_toán tiêu_dùng may hứng_chịu thảm_họa kép động_đất sóng_thần",", tác_động khủng_hoảng nợ công châu âu mỹ , khả_năng tác_động hai khủng_hoảng kinh_tế thế_giới trầm_trọng khủng_hoảng tài_chính 2008",0
cầu_thủ đánh_bóng xoay đánh_bóng,cầu_thủ bắt bóng trọng_tài theo_dõi cú đánh_bóng cầu_thủ đánh_bóng,1
phụ_nữ vung vợt đánh_quả bóng tennis,nữ vận_động_viên tennis vung vợt đánh_bóng,1
hình_ảnh bóng_chày sân,vận_động_viên đứng vung vợt sân,1
hai phụ_nữ bóng_đá sân,hai cầu_thủ bóng_đá nữ hai đội tranh bóng sân,1
đàn_ông giơ gậy bóng_chày gôn,khán_giả theo_dõi diễn_biến trận thi_đấu bóng_chày nam,1
trận bóng_chày diễn cầu_thủ bóng_chày vung gậy đánh bóng,cầu_thủ đánh_bóng đứng sân_nhà vung gậy đỡ bóng,1
"( 1 8 ) , tuấn có_mặt tượng_đài hồ quảng_trường hồ chí minh ( tp vinh ) kính_cẩn , nghiêng_mình anh_linh tạm_biệt quê_hương hành_trình xuyên việt","mong_muốn con_em ngư_dân trường , bố_mẹ yên_tâm bám biển , võ tuấn ( sn 1987 ) giáo_viên trường trung_cấp nghề tỉnh kon tum hà_nội chuyến hành_trình đi xuyên việt quỹ từ_thiện",0
bình_thường i phone lựa_chọn khôn_ngoan,bình_thường i phone thoả_mãn thói sính đồ xịn lựa_chọn thông_minh,1
"nghiên_cứu bé bú mẹ chỉ_số iq , kèm bố_mẹ chăm_sóc , hát , đơn_giản thường_xuyên âu_yếm , vuốt_ve","âm_nhạc thông_minh nằm bụng mẹ ra_đời , nhạc hòa_tấu mẹ ru tác_động bổ_ích giúp trí_não bé phát_triển mạnh_mẽ",0
phụ_nữ cầm vợt tennis thi_đấu sân,phụ_nữ cầm vợt tennis chạy bóng,1
nguyên_nhân hệ_thống nhiên_liệu,hệ_thống nhiên_liệu nguyên_nhân,1
"thề xuất_quân hai trưng ghi thiên_nam ngữ lục rửa sạch thù , hai dựng nghiệp xưa hùng , kẻo oan_ức chồng , bốn vẹn vẹn sở công lênh os","trang biên niên_sử dân_tộc ta thấp_thoáng bóng hình phụ_nữ , chồng , , ý_chí kiên_cường trái_tim nhân_hậu , dựng , vỡ đất , khai_hoang , dệt_vải cấy_cày mùa vàng đất_nước đất_nước giặc xâm_lăng sẵn_sàng đứng chống giặc",0
"nghiên_cứu mạng_lưới kế_toán quốc_tế uhy trụ_sở_tại lonndon ( ) công_bố , malaysia quốc_gia trợ_giá xăng dầu thế_giới kinh_tế","nghiên_cứu mạng_lưới kế_toán quốc_tế uhy trụ_sở_tại lonndon ( ) công_bố , quốc_gia trợ_giá xăng dầu thế_giới malaysia",1
cầu_thủ đánh_bóng giơ gậy sân,đàn_ông bóng_chày sân,1
phụ_nữ cầm vợt bóng tennis,vận_động_viên tennis tư_thế giao_bóng,1
", ngành gtvt quản_lý diện_tích đất nằm gcnqsd đất ubnd địa_phương thẩm_quyền tổ_chức , , thu_hồi đất đường_bộ bàn_giao ngành gtvt quản_lý luật_định","cơ_quan tách bộ_phận ngành cục cảnh_sát giao_thông ca , giao_thông công_chính bô giao_thông vận_tải , bộ_phận thuế cục thuế 1 tỷ usd xuất_khẩu lúa gạo , con_người ngành chức_năng trung_ương , địa_phương , 2 3 dân_số quần_quật chừng , hô_hào đòi giảm_thiểu tai_nạn giao_thông , ùn_tắc giao_thông dể ?",0
hai đội bóng_chày bắt_tay trò_chuyện sân,cầu_thủ bóng_chày trò_chuyện,1
cầu_thủ đánh_bóng nghiêng đánh_bóng,cầu_thủ đánh_bóng vung gậy đánh_bóng,1
styrene hóa_chất cốc hộp xốp đứng thức_ăn dự_đoán tác_nhân ung_thư,"sai_lầm hộp xốp đựng thức_ăn nóng ( 70 độ c ) , thức_ăn mặn , bảo_quản thức_ăn , đựng thức_ăn , đồ uống chua ( dưa muối , sa_lát trộn dấm , chanh , chè chanh ) mỡ , dầu lò vi_sóng",0
đứa trẻ bóng_đá ngoài_trời,bé áo trắng chạy bé áo sọc bóng màu xanh,1
trung nam thành_tích học_tập xuất_sắc biệt_hiệu chàng trai siêu tiết_kiệm giấy nháp,trung nam thầy bạn_bè thành_tích học_tập xuất_sắc gắn liền biệt_hiệu chàng trai siêu tiết_kiệm giấy nháp,1
nam vận_động_viên tennis vung vợt đánh_bóng,đàn_ông vung vợt đánh_quả bóng tennis,1
"rối_loạn nhịp sinh_học , cơ_thể thích_ứng xáo_trộn giờ_giấc","ngủ trưa dậy , đồng_hồ sinh_học rối_loạn , đầu_óc trở_nên mụ_mẫm ngủ tối hôm",0
thợ quay_phim đứng ghi_hình trận_đấu,vận_động_viên bóng_chày mặt máy quay_phim,1
suy_nghĩ từ_bỏ công_việc hàng,"làm_việc kết_thúc tự_nhủ , hoàn_thành nốt công_việc ứ_đọng chiều ?",0
phụ_nữ đá bóng sân_cỏ phụ_nữ quan_sát,cầu_thủ bóng_đá nữ bóng sân_cỏ,1
đứa trẻ tennis sân,đứa trẻ đứng sân cầm vợt tennis,1
"kiểm_tra chất_lượng sản_phẩm , hàng_hóa hạn_chế phòng thử_nghiệm trình_độ kinh_nghiệm mở_rộng hoạt_động thử_nghiệm , chứng_nhận chất_lượng sản_phẩm hàng_hóa tổ_chức , phổ_biến","mạng_lưới kiểm_tra chất_lượng xác_nhận rau sạch , ( chứng_minh ứng_dụng qui_trình sản_xuất gap sản_xuất rau sạch , an_toàn ) mỏng vàng thau lẫn_lộn , giới tiêu_thụ niềm rau bày chợ",0
"tham_gia sứ_mệnh hiroshima , lái máy_bay nhiệm_vụ tác_động vụ nổ , great artiste",công_trình bê_tông hiroshima vững_vàng chống động_đất nhật cấu_trúc sụp_đổ trung_tâm vụ nổ,0
cầu_thủ bắt bóng trọng_tài theo_dõi cú đánh_bóng cầu_thủ đánh_bóng,cầu_thủ đánh_bóng vung gậy đánh_bóng,1
"tỏ khiêm_nhường sẵn_sàng học_hỏi , từ_chối","tỏ khiêm_nhường sẵn_sàng học_hỏi , từ_chối",1
vận_động_viên tennis nam cầm vợt bóng tennis,vận_động_viên tennis cầm vợt đứng biên phát_bóng,1
"tiến_bộ khoa_học kỹ_thuật , công_việc bắt_buộc con_người đi_lại đa_số chị_em công_việc văn_phòng","ngày_nay , tiến_bộ khoa_học kỹ_thuật , tính_chất công_việc đòi_hỏi con_người đi_lại chị_em công_việc văn_phòng",1
"gia_đình dương 3 bé nguyễn thị quân ( sinh 2002 ) , nguyễn văn nhật ( sinh 2008 ) nguyễn văn tiếp ( sinh 2011 )","trao_đổi pv dân_trí , võ tuấn tiết_lộ chuyến du_lịch miền đất_nước phương_tiện đôi chân 2008 , tuấn dịp video trận chiến đảo gạc ma 1988",0
cầu_thủ bóng_chày ném bóng,cầu_thủ bóng_chày cú ném bóng,1
chuyến bay mh17 malaysia airlines khởi_hành amsterdam hà_lan kuala lumpur bắn_hạ liên_lạc bay khu_vực miền đông ukraine chiều 17 7,chuyến bay số_hiệu mh17 hãng hàng malaysia airlines ( mas ) khởi_hành amsterdam hà_lan kuala lumpur liên_lạc không_phận ukraine,1
"ý_nghĩa tỷ_lệ thất_nghiệp nông_thôn ( báo_cáo trường đh kinh_tế quốc dân , thực_trạng thất_nghiệp 4,6 thành_thị 20 lao_động nông_thôn , tỷ_lệ tương_đương 10 triệu lao_động thất_nghiệp việt_nam ) , hạn_chế dòng di_cư nông_thôn thị khu công_nghiệp",", nhà_nước chính_sách đầu_tư xây_dựng kết_cấu_hạ_tầng , đào_tạo dạy nghề nông_thôn , xây_dựng nhà_máy nông_thôn thu_hút lao_động tại_chỗ , ly nông bất_ly hương",0
cầu_thủ bóng_chày cú ném bóng,cầu_thủ bóng_chày áo trắng lao đối_thủ,1
hình_ảnh nữ vận_động_viên tennis chỉnh_sửa đầu đàn_ông,hình_ảnh nữ vận_động_viên tennis photoshop,1
chợ vải soái kình lâm miếng vải đẹp làm_quà may áo_dài truyền_thống vừa_ý,"miếng vải đẹp làm_quà may áo_dài truyền_thống vừa_ý , chợ vải soái kình lâm lựa_chọn",1
trận bóng_chày diễn cầu_thủ vung ậy đánh_bóng,cầu_thủ bóng_chày vung gậy bóng_chày đánh bóng trận,1
"thành_phần tham_dự hội_nghị chuyên_gia tin_học , hoạt_động chống lén , nghệ_sĩ tin_tặc","chuyên_gia tin_học , hoạt_động chống lén , nghệ_sĩ tin_tặc thành_phần tham_dự hội_nghị",1
đàn_ông áo trắng tennis sân,vận_động_viên tennis cầm vợt nhảy đỡ bóng,1
chủ_tịch fifa sepp blatter trả_lời báo giới một_chút ngạc_nhiên messi trao danh_hiệu cầu_thủ giải os,"lễ trao giải sân maracana , chủ_tịch fifa blatter bày_tỏ ngạc_nhiên báo giới messi giành bóng vàng world_cup 2014 sự_thật messi xứng_đáng danh_hiệu cầu_thủ",1
đàn_ông vợt đánh_quả bóng tennis,đàn_ông tennis sân,1
"xoài_cát hòa lộc giá khan hàng , xoài_cát chu 30 000 40 000 đồng kg , gấp 7 8 mùa chín_rộ","tp hcm , giá xoài_cát hòa_lộc ( tiền giang ) 100 000 đồng kg , 110 000 đồng kg , gấp",0
đứa trẻ luyện_tập bóng_chày sân,đứa trẻ cầm gậy bóng_chày đứng cạnh bóng trụ,1
"trung_ương chấp_thuận đề_án , bước_ngoặt đánh_dấu phát_triển , phú quốc tương_lai","đặc_khu phú quốc tương_lai hành_chính tương_đương tỉnh tp trực_thuộc trung_ương 10 phường , xã trực_thuộc ( tám xã , thị_trấn hai xã đảo )",0
"bàn , hai bàn_tay cạnh đĩa","bàn , hai bàn_tay kế đĩa",1
cầu_thủ bóng_chày áo trắng tư_thế ném bóng,đàn_ông áo trắng bóng_chày sân,1
bóng_đá sân,hai đội bóng áo trắng áo đỏ thi_đấu trận,1
phụ_nữ vung vợt đánh_quả bóng tennis,trọng_tài theo_dõi cú đánh_bóng nữ vận_động_viên tennis,1
", ngọc trung_ương hội sinh_viên việt_nam trao_tặng danh_hiệu sinh_viên 5",", ngọc danh_hiệu sinh_viên 5 trung_ương hội sinh_viên việt_nam trao_tặng",1
weplay thành_lập 2013 3 thành_viên,2013 weplay thành_lập 3 thành_viên,1
bắt chữ phát_triển ý_tưởng từ_chương_trình phát_sóng nổi_tiếng đuổi hình bắt_chữ,bắt chữ phát_triển dựa ý_tưởng chương_trình nổi_tiếng đuổi hình bắt_chữ,1
phụ_nữ giao bóng tennis,nam vận_động_viên tennis theo_dõi động_tác đánh_bóng nữ vận_động_viên,1
vận_động_viên chéo chân tư_thế đánh_bóng,hình_ảnh đàn_ông áo tím đứng sân,1
cầu_thủ đánh_bóng vung gậy đánh_bóng,cầu_thủ bắt bóng bắt bóng,1
"phong_trào cách_mạng đầu thế_kỷ 20 , đông kinh_nghĩa thục trường_học cách_mạng cô_giáo cạnh thầy",mẹ đào hầm nuôi giấu cán_bộ cách_mạng tóc xanh phơ phơ đầu bạc,0
đàn_ông cầm gậy bóng_chày đứng gôn,cầu_thủ đánh_bóng xoay đánh_bóng,1
đàn_ông luyện_tập ném bóng sân bóng_chày,đàn_ông nhảy sân bóng_chày,1
"trường mẫu_giáo 1 nhật , cháu sâu_răng , hàm_răng_sữa bé trắng_phau thay","trường mẫu_giáo 1 nhật , hiếm cháu sâu_răng , hàm_răng_sữa bé trắng_phau tận thay",1
"cạnh , bức_xúc dư_luận gía cước chất_lượng tín_hiệu phát_sóng truyền_hình","cạnh , thực_trạng bức_xúc dư_luận cước chất_lượng tín_hiệu phát_sóng truyền_hình cung_cấp đi",1
tỏ thái_độ chân_thành lắng_nghe ý_kiến phản_ánh nhân_viên nhận_xét quan_sát liệu nhân_viên đón_nhận,"tỏ thái_độ chân_thành lắng_nghe ý_kiến đóng_góp nhân_viên , nhận_xét quan_sát nhân_viên đón_nhận",1
scotti tham_chiến việt_nam,scotti thời_gian_tham_gia chiến_tranh việt_nam,1
"quỹ , hiệu_quả","đặc_điểm , quản_lý , duy_nhất sắp_xếp hiệu_quả",0
khoa_học giàu_có vinh_danh công_trình,nhân_viên hàng bậc thầy duy_trì công_việc,0
b777 200 nạn hôm 17 7 malaysia airlines sản_xuất 7 1997 17 hoạt_động,b777 200 nạn hôm 17 7 malaysia airlines sản_xuất 7 1997 17 hoạt_động,1
"suy_nghĩ , trăn_trở động_viên chiến_sĩ hải_quân vững_vàng an_tâm nhiệm_vụ",", thôi_thúc có_ích tổ_quốc , nhân_dân , xứng_đáng hi_sinh thế_hệ tuấn tâm_sự",0
đàn_ông cầm vợt đánh tennis sân,đàn_ông cầm vợt tennis đứng sân,1
"gcnqsd đất hộ gia_đình đề_nghị ghi đất diện_tích đất nằm hlatđb , quy_hoạch xây_dựng đường gom , đường nhánh đấu nối đất vườn , diện_tích đất hlatđb tạm giao mục_đích nông_nghiệp quảng_cáo , chủ đất nộp thuế đất nông_nghiệp diện_tích đất hlatđb","5 ) nhà_nước chính_phủ nghiên_cứu phương_án đầu_tư xây_dựng 2 3 thành_phố công_nghiệp dọc tuyến đường_trường sơn , công việc_làm phát_triển kinh_tế tây đất nứơc , thu_hút lực_lượng lao_động trẻ làm_việc góp_phần xây_dựng đất_nước mật_độ lao_động thành_phố",0
nữ vận_động_viên tennis vươn đánh_bóng,nữ vận_động_viên tennis thi_đấu sân,1
bé cầm gậy màu vàng luyện_tập đánh_bóng vườn,bé vung gậy đánh_bóng công_viên,1
"nhận_định năng_lực , yếu công_việc đối_mặt tình_huống mong_muốn sự_nghiệp cuộc_sống","tiên_đoán kế_hoạch quỹ trì_hoãn nho_nhỏ mức_độ phép , , phản_ứng",0
